classes,instances,buildkb,sparql,infer
100,100,176.52898406982422,190.08929443359375,298.25106048583984
100,200,178.83202362060547,162.6069793701172,416.37548828125
100,300,158.61162567138672,191.95015716552734,417.39833068847656
100,400,156.51993560791016,159.79015350341797,442.0591735839844
100,500,159.0897216796875,194.47515869140625,440.77540588378906
100,600,156.27074432373047,159.86551666259766,317.6477508544922
100,700,159.16307067871094,196.23712158203125,329.4695816040039
100,800,156.2561264038086,162.64732360839844,325.7543258666992
100,900,156.3295440673828,162.12335968017578,323.8556213378906
100,1000,156.59265899658203,160.16626739501953,329.8523178100586
200,200,167.88140869140625,193.5550308227539,391.9920120239258
200,300,189.96905517578125,187.5960693359375,409.7588882446289
200,400,170.0875701904297,187.99388122558594,517.8136901855469
200,500,179.4180450439453,189.6646270751953,377.78975677490234
200,600,183.70130920410156,185.63521575927734,453.3729934692383
200,700,184.1107406616211,183.41397857666016,549.0552062988281
200,800,184.08939361572266,181.0845718383789,526.4249420166016
200,900,174.48587036132812,198.2543716430664,443.8296203613281
200,1000,184.1775665283203,194.0010528564453,481.55833435058594
300,300,222.19832611083984,221.89219665527344,544.6752548217773
300,400,233.06163024902344,231.97785186767578,487.8978576660156
300,500,213.90948486328125,223.9671401977539,583.8711547851562
300,600,228.32374572753906,234.12808227539062,604.9569549560547
300,700,219.97628021240234,215.0599365234375,507.98030853271484
300,800,198.97716522216797,228.01504516601562,508.8328552246094
300,900,233.43120574951172,226.1795425415039,566.3943710327148
300,1000,213.3691177368164,218.82929229736328,519.6116561889648
400,400,240.52798461914062,233.14385986328125,620.0625686645508
400,500,329.77783966064453,243.9365997314453,606.5165710449219
400,600,228.40091705322266,340.2523727416992,619.4913558959961
400,700,223.79029846191406,246.633056640625,666.255729675293
400,800,321.742431640625,268.9464874267578,587.3496398925781
400,900,334.138427734375,320.86267852783203,607.2393112182617
400,1000,301.64205169677734,289.3414077758789,604.1762542724609
500,500,264.5432357788086,309.7558135986328,612.7581024169922
500,600,296.65484619140625,321.8423538208008,676.2119903564453
500,700,294.93882751464844,286.25965881347656,691.5381622314453
500,800,321.9652633666992,328.6234664916992,707.4808349609375
500,900,300.6875991821289,337.63768005371094,657.1723403930664
500,1000,312.25240325927734,304.8187942504883,690.431755065918
600,600,466.88639068603516,392.14444732666016,662.853385925293
600,700,410.407958984375,330.2781295776367,730.7501373291016
600,800,465.98828125,361.62290954589844,723.7758941650391
600,900,466.8994598388672,474.0619354248047,704.5154876708984
600,1000,479.8363037109375,348.45301055908203,729.432243347168
700,700,485.2694396972656,479.95345306396484,730.7766571044922
700,800,331.07733154296875,376.48699951171875,741.6962280273438
700,900,467.87776947021484,380.5381851196289,717.7969436645508
700,1000,438.2621383666992,426.7586898803711,716.9804153442383
800,800,417.66148376464844,473.24349212646484,764.5380783081055
800,900,562.4101104736328,389.1783981323242,754.5000991821289
800,1000,406.2452621459961,476.36341857910156,755.2916412353516
900,900,512.1367263793945,558.4293670654297,848.3443603515625
900,1000,478.13439178466797,549.0256271362305,877.2722778320312
1000,1000,566.4714431762695,567.7114486694336,899.5200653076172
