classes,instances,buildkb-task,sparql-task,infer-task
100,100,3.045734,0.136902,2.99901
100,200,3.273983,0.126567,3.149429
100,300,3.336018,0.12869,3.292506
100,400,3.251554,0.125521,3.493434
100,500,3.548638,0.151795,3.386127
100,600,3.45747,0.144245,3.600449
100,700,3.481818,0.133161,3.61267
100,800,3.403484,0.127491,3.714235
100,900,3.444353,0.134398,3.934154
100,1000,3.614917,0.132426,3.789188
200,200,4.175524,0.134005,4.787352
200,300,4.157505,0.120077,4.757257
200,400,4.269164,0.132226,4.888454
200,500,4.178845,0.14195,5.026655
200,600,4.294494,0.16675,5.254039
200,700,4.306356,0.124888,5.280204
200,800,4.423694,0.133371,5.165878
200,900,4.371668,0.138866,5.61618
200,1000,4.371348,0.141232,5.567005
300,300,5.054697,0.133381,6.557775
300,400,5.121664,0.136627,6.687655
300,500,5.335709,0.123444,6.75558
300,600,5.076973,0.125251,7.182594
300,700,5.175365,0.130513,7.101065
300,800,5.171159,0.141297,7.259781
300,900,5.290768,0.137519,7.282235
300,1000,5.172903,0.128527,7.281636
400,400,5.959397,0.124034,8.871377
400,500,5.880299,0.129264,9.454836
400,600,6.116067,0.151866,9.410979
400,700,5.894024,0.124655,9.773224
400,800,6.030114,0.118285,9.375963
400,900,6.092106,0.135673,9.575548
400,1000,6.060761,0.149866,9.859397
500,500,7.063683,0.12449,12.392052
500,600,6.948857,0.117097,12.500901
500,700,7.563847,0.129716,12.729062
500,800,7.297552,0.129692,12.810548
500,900,7.211259,0.115332,13.327799
500,1000,7.228268,0.112374,13.252204
600,600,8.513276,0.115237,16.400349
600,700,8.518835,0.113026,17.289716
600,800,8.432624,0.148343,16.451086
600,900,8.689576,0.129568,17.133408
600,1000,8.463689,0.125201,16.92241
700,700,9.57009,0.11305,22.464758
700,800,9.562093,0.110522,22.833899
700,900,9.650268,0.128279,22.745926
700,1000,10.171438,0.1243,23.345273
800,800,11.150638,0.111425,30.3795
800,900,11.167554,0.126626,30.939707
800,1000,11.381965,0.130785,30.801018
900,900,12.928343,0.125122,39.430702
900,1000,13.136514,0.117839,41.080931
1000,1000,14.768647,0.147578,51.345079
